dispatching_base_number,date,active_vehicles,trips,pickup_datetime,year,month,day,hour,weekday,is_weekend
B02764,2015-01-30,4124,39110,2015-01-30,2015,1,30,0,Friday,False
B02765,2015-01-30,322,2785,2015-01-30,2015,1,30,0,Friday,False
B02598,2015-01-30,1106,11167,2015-01-30,2015,1,30,0,Friday,False
B02765,2015-01-31,309,3282,2015-01-31,2015,1,31,0,Saturday,True
B02512,2015-01-31,225,1892,2015-01-31,2015,1,31,0,Saturday,True
B02617,2015-01-31,1394,15756,2015-01-31,2015,1,31,0,Saturday,True
B02682,2015-01-31,1321,15388,2015-01-31,2015,1,31,0,Saturday,True
B02764,2015-01-31,3947,44297,2015-01-31,2015,1,31,0,Saturday,True
B02598,2015-01-31,1027,11642,2015-01-31,2015,1,31,0,Saturday,True
B02598,2015-02-01,961,9499,2015-02-01,2015,2,1,0,Sunday,True
B02682,2015-02-01,1214,12436,2015-02-01,2015,2,1,0,Sunday,True
B02512,2015-02-01,193,1377,2015-02-01,2015,2,1,0,Sunday,True
B02765,2015-02-01,289,2672,2015-02-01,2015,2,1,0,Sunday,True
B02617,2015-02-01,1355,13458,2015-02-01,2015,2,1,0,Sunday,True
B02764,2015-02-01,3740,37468,2015-02-01,2015,2,1,0,Sunday,True
B02617,2015-02-02,1217,12216,2015-02-02,2015,2,2,0,Monday,False
B02682,2015-02-02,1152,11981,2015-02-02,2015,2,2,0,Monday,False
B02765,2015-02-02,275,2607,2015-02-02,2015,2,2,0,Monday,False
B02598,2015-02-02,939,9511,2015-02-02,2015,2,2,0,Monday,False
B02764,2015-02-02,3270,30761,2015-02-02,2015,2,2,0,Monday,False
B02512,2015-02-02,227,1904,2015-02-02,2015,2,2,0,Monday,False
B02765,2015-02-03,299,2410,2015-02-03,2015,2,3,0,Tuesday,False
B02598,2015-02-03,991,9602,2015-02-03,2015,2,3,0,Tuesday,False
B02512,2015-02-03,257,1915,2015-02-03,2015,2,3,0,Tuesday,False
B02764,2015-02-03,3674,31641,2015-02-03,2015,2,3,0,Tuesday,False
B02617,2015-02-03,1350,12665,2015-02-03,2015,2,3,0,Tuesday,False
B02682,2015-02-03,1269,11955,2015-02-03,2015,2,3,0,Tuesday,False
B02764,2015-02-04,3856,29994,2015-02-04,2015,2,4,0,Wednesday,False
B02765,2015-02-04,309,2334,2015-02-04,2015,2,4,0,Wednesday,False
B02512,2015-02-04,244,1639,2015-02-04,2015,2,4,0,Wednesday,False
B02682,2015-02-04,1311,11309,2015-02-04,2015,2,4,0,Wednesday,False
B02617,2015-02-04,1393,11959,2015-02-04,2015,2,4,0,Wednesday,False
B02598,2015-02-04,1072,9600,2015-02-04,2015,2,4,0,Wednesday,False
B02617,2015-02-05,1524,14499,2015-02-05,2015,2,5,0,Thursday,False
B02682,2015-02-05,1418,13782,2015-02-05,2015,2,5,0,Thursday,False
B02598,2015-02-05,1179,11609,2015-02-05,2015,2,5,0,Thursday,False
B02512,2015-02-05,264,2022,2015-02-05,2015,2,5,0,Thursday,False
B02765,2015-02-05,355,3011,2015-02-05,2015,2,5,0,Thursday,False
B02764,2015-02-05,4093,35990,2015-02-05,2015,2,5,0,Thursday,False
B02617,2015-02-06,1526,15417,2015-02-06,2015,2,6,0,Friday,False
B02765,2015-02-06,385,3569,2015-02-06,2015,2,6,0,Friday,False
B02598,2015-02-06,1181,11897,2015-02-06,2015,2,6,0,Friday,False
B02512,2015-02-06,261,1989,2015-02-06,2015,2,6,0,Friday,False
B02764,2015-02-06,4170,38693,2015-02-06,2015,2,6,0,Friday,False
B02682,2015-02-06,1414,14375,2015-02-06,2015,2,6,0,Friday,False
B02598,2015-02-07,1031,10512,2015-02-07,2015,2,7,0,Saturday,True
B02512,2015-02-07,211,1504,2015-02-07,2015,2,7,0,Saturday,True
B02617,2015-02-07,1383,13688,2015-02-07,2015,2,7,0,Saturday,True
B02682,2015-02-07,1300,13450,2015-02-07,2015,2,7,0,Saturday,True
B02764,2015-02-07,3849,38530,2015-02-07,2015,2,7,0,Saturday,True
B02765,2015-02-07,345,3473,2015-02-07,2015,2,7,0,Saturday,True
